"1","1",24.425,"8"
"2","1",24.15,"8"
"3","1",29.25,"11"
"4","1",26.16,"10"
"5","1",27.475,"11"
"6","1",25.125,"9"
"7","1",25.3,"9"
"8","1",22,"6"
"9","1",27.6,"11"
"10","1",27.3,"11"
"11","1",28.325,"11"
"12","1",21.475,"6"
"13","1",24.46,"8"
"14","1",24.275,"8"
"15","1",25.35,"9"
"16","1",24.225,"8"
"17","1",26.26,"10"
"18","1",21.15,"5"
"19","1",23.375,"7"
"20","1",23.725,"8"
"21","1",23.32,"7"
"22","1",28.075,"11"
"23","1",24.775,"9"
"24","1",23.95,"8"
"25","1",22.08,"6"
"26","1",22.55,"7"
"27","1",20.225,"5"
"28","1",21.65,"6"
"29","1",25.44,"9"
"30","1",21.725,"6"
"31","1",18.5,"3"
"32","1",18.75,"4"
"33","1",19.38,"4"
"34","1",15.55,"1"
"35","1",19.85,"4"
"36","1",16.85,"2"
"37","1",16.44,"2"
"38","1",16.95,"2"
"39","1",18.125,"3"
"40","1",14.675,"1"
"41","1",12.68,"1"
"42","1",15.3,"1"
"43","1",16.075,"2"
"44","1",15.925,"1"
"45","1",15.44,"1"
"46","1",14.125,"1"
"47","1",15.325,"1"
"48","1",14,"1"
"49","1",13.38,"1"
"50","1",13.975,"1"
"51","1",15.575,"1"
"52","1",16.625,"2"
"53","1",17.925,"3"
"54","1",17.74,"3"
"55","1",18.55,"3"
"56","1",16.7,"2"
"57","1",20.375,"5"
"58","1",17.5,"3"
"59","1",17.125,"2"
"60","1",17.525,"3"
"61","1",16.925,"2"
"62","1",15.8,"1"
"63","1",22.5,"7"
"64","1",19.3,"4"
"65","1",23.975,"8"
"66","1",22.12,"6"
"67","1",30.675,"11"
"68","1",23.875,"8"
"69","1",21,"5"
"70","1",25.36,"9"
"71","1",19.85,"4"
"72","1",25.35,"9"
"73","1",23.55,"8"
"74","1",20.02,"5"
"75","1",24.325,"8"
"76","1",22.85,"7"
"77","1",23.925,"8"
"78","1",25.88,"10"
"79","1",22.125,"6"
"80","1",24.875,"9"
"81","1",27.775,"11"
"82","1",27.54,"11"
"83","1",24.85,"9"
"84","1",27.275,"11"
"85","1",24.9,"9"
"86","1",22.24,"6"
"1","2",24.925,"9"
"2","2",24.6,"9"
"3","2",27.725,"11"
